family	box	game_id	family_findings	n_hard	n_soft	perspectives	sample_turn	sample_message
struggle_damage	i-08472e297c47a3fb7	b005/g13/20260812T053414-l2-000032	23	23	0	p2	11	observed damage 24 on suicune from lapras struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 32)
struggle_damage	i-098a6d5ae9c2f5ef9	b003/g7/20260812T050645-l5-000083	20	20	0	p2	112	observed damage 27 on alomomola from lapras struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 39)
struggle_damage	i-0d0937c3e06d97498	b008/g1/20260812T061759-l5-000043	19	19	0	p1	12	observed damage 36 on suicune from lapras struggle (crit=True) not in the PS-exact roll set (nearest delta -4; max_roll 48)
struggle_damage	i-0dc172ad87fd30d1a	b007/g3/20260812T055809-l4-000044	18	18	0	p2	33	observed damage 27 on vaporeon from gardevoir struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 37)
struggle_damage	i-07457ae77f367bf5e	b005/g0/20260812T054025-l2-000028	17	17	0	p2	11	observed damage 29 on phione from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 38)
struggle_damage	i-08a8cdc31c0c99872	b005/g2/20260812T053433-l5-000021	17	17	0	p1	29	observed damage 25 on vaporeon from gardevoir struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 37)
struggle_damage	i-0b317a80d4911132b	b009/g1/20260812T063007-l1-000070	17	17	0	p1	20	observed damage 22 on suicune from lapras struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 32)
struggle_damage	i-05b586360961cef63	b001/g2/20260812T043839-l5-000081	16	16	0	p1	73	observed damage 24 on suicune from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 32)
struggle_damage	i-071a80d298ad227a8	b000/g15/20260812T064114-l1-000061	16	16	0	p2	22	observed damage 31 on phione from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -1; max_roll 38)
struggle_damage	i-0f1f71586ce8c32ff	b005/g12/20260812T053744-l2-000026	16	16	0	p1	20	observed damage 26 on vaporeon from gardevoir struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 37)
struggle_damage	i-01bf39e3c9478af89	b003/g0/20260812T050507-l2-000021	15	15	0	p2	36	observed damage 24 on suicune from lapras struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 32)
struggle_damage	i-098a6d5ae9c2f5ef9	b000/g15/20260812T042513-l4-000036	15	15	0	p2	17	observed damage 25 on phione from lapras struggle (crit=False) not in the PS-exact roll set (nearest delta -7; max_roll 38)
struggle_damage	i-0d0937c3e06d97498	b003/g0/20260812T050757-l1-000069	15	15	0	p1	18	observed damage 23 on suicune from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 32)
