box	game_id	families	n_hard	n_soft	n_damage	n_findings	perspectives	sample_turn	sample_message
i-0007c93f1013e0a91	b000/g3/20260812T065013-l5-000007	struggle_damage,ko_margin_soft	1	1	1	2	p2	35	observed damage 21 on coalossal from thundurustherian struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 29)
i-005adc19f61405de9	b000/g0/20260812T042531-l5-000054	struggle_damage	1	0	1	1	p1	21	observed damage 95 on blissey from exeggutoralola struggle (crit=False) not in the PS-exact roll set (nearest delta -19; max_roll 135)
i-005adc19f61405de9	b000/g13/20260812T042531-l2-000068	revival_blessing	1	0	0	1	p1	20	observed - spa on user but no branch produces it
i-005adc19f61405de9	b000/g14/20260812T042531-l4-000039	ko_margin_soft	0	1	0	1	p1	25	observed slp on user but no branch applies it [ko-margin]
i-005adc19f61405de9	b000/g14/20260812T042531-l4-000044	struggle_damage	1	0	1	1	p1	89	observed damage 20 on walkingwake from umbreon struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 31)
i-005adc19f61405de9	b000/g14/20260812T042531-l6-000028	struggle_damage	2	0	2	2	p2	138	observed damage 14 on umbreon from bastiodon struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 24)
i-005adc19f61405de9	b000/g2/20260812T042531-l6-000043	revival_blessing	1	0	0	1	p2	24	observed weather SUN but no branch sets it
i-005adc19f61405de9	b000/g5/20260812T042531-l3-000089	struggle_damage	2	0	2	2	p2	142	observed damage 15 on porygon2 from florgesyellow struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 21)
i-005adc19f61405de9	b000/g7/20260812T042531-l2-000002	ko_margin_soft	0	3	0	3	p2	10	observed - atk on opp but no branch produces it [ko-margin]
i-005adc19f61405de9	b001/g1/20260812T044139-l1-000001	struggle_damage	1	0	1	1	p2	95	observed damage 23 on magmortar from sylveon struggle (crit=False) not in the PS-exact roll set (nearest delta -7; max_roll 36)
i-005adc19f61405de9	b001/g11/20260812T044139-l1-000085	bellydrum_sitrus	0	1	0	1	p1	23	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b001/g15/20260812T044139-l1-000041	struggle_damage	1	0	1	1	p1	24	observed damage 40 on wigglytuff from toxtricity struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 52)
i-005adc19f61405de9	b001/g3/20260812T044139-l2-000029	revival_blessing	1	0	0	1	p2	19	observed tox on opp but no branch applies it
